HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458243.52245,2018-05-05.0204089,bh,1.37,15.029,11.024,0.006,149.314,0.876,V
2458243.52372,2018-05-05.0216763,bh,1.44,15.036,11.041,0.006,147.134,0.848,V
2458243.52499,2018-05-05.0229520,bh,1.43,15.042,11.038,0.006,147.471,0.890,V
2458246.62100,2018-05-08.1189962,bh,1.45,14.714,10.998,0.009,153.053,1.282,V
2458246.62228,2018-05-08.1202796,bh,1.41,14.770,11.053,0.009,145.522,1.162,V
2458248.26169,2018-05-09.7597004,bo,2.02,15.519,11.389,0.006,101.104,0.501,g
2458248.26291,2018-05-09.7609313,bo,2.00,15.517,11.363,0.006,103.445,0.516,g
2458248.26414,2018-05-09.7621488,bo,1.99,15.514,11.369,0.006,102.829,0.516,g
2458249.26192,2018-05-10.7599466,bo,2.09,14.683,11.339,0.011,105.781,1.074,g
2458249.26316,2018-05-10.7611923,bo,2.14,99.990,99.990,99.990,99.990,99.990,g
2458249.26444,2018-05-10.7624673,bo,2.10,99.990,99.990,99.990,99.990,99.990,g
2458250.24136,2018-05-11.7394032,bo,1.53,15.541,11.365,0.006,103.240,0.509,g
2458250.24387,2018-05-11.7419093,bo,1.61,15.547,11.371,0.006,102.666,0.502,g
2458251.24885,2018-05-12.7469111,bo,1.44,99.990,99.990,99.990,99.990,99.990,g
2458251.25007,2018-05-12.7481312,bo,1.40,15.575,11.376,0.006,102.267,0.517,g
2458251.25129,2018-05-12.7493597,bo,1.47,15.578,11.372,0.006,102.550,0.519,g
2458252.23442,2018-05-13.7324976,bo,1.99,15.564,11.353,0.005,104.493,0.513,g
2458252.23684,2018-05-13.7349123,bo,1.72,15.557,11.355,0.006,104.230,0.530,g
2458253.24810,2018-05-14.7461899,bo,1.44,99.990,99.990,99.990,99.990,99.990,g
2458253.24932,2018-05-14.7474078,bo,1.45,15.562,11.382,0.006,101.694,0.536,g
2458253.25053,2018-05-14.7486173,bo,1.57,15.558,11.364,0.006,103.409,0.523,g
2458254.24394,2018-05-15.7420508,bo,1.53,15.544,11.357,0.006,104.013,0.521,g
2458254.24515,2018-05-15.7432546,bo,1.62,15.544,11.347,0.006,104.944,0.538,g
2458254.24636,2018-05-15.7444619,bo,1.56,15.534,11.344,0.006,105.227,0.526,g
2458255.24013,2018-05-16.7382561,bo,1.97,15.531,11.357,0.006,104.061,0.531,g
2458255.24255,2018-05-16.7406792,bo,1.98,15.547,11.355,0.006,104.230,0.509,g
2458256.23591,2018-05-17.7340479,bo,2.09,15.533,11.350,0.006,104.706,0.545,g
2458256.23712,2018-05-17.7352599,bo,2.10,15.527,11.345,0.006,105.197,0.526,g
2458256.23834,2018-05-17.7364776,bo,2.09,15.530,11.346,0.006,105.120,0.549,g
2458257.23919,2018-05-18.7373454,bo,1.95,99.990,99.990,99.990,99.990,99.990,g
2458257.24041,2018-05-18.7385645,bo,1.92,99.990,99.990,99.990,99.990,99.990,g
2458282.55493,2018-06-13.0537028,bl,2.45,15.444,11.366,0.007,103.168,0.629,g
2458282.55614,2018-06-13.0549144,bl,2.44,15.445,11.378,0.007,101.992,0.648,g
2458282.55736,2018-06-13.0561327,bl,2.44,15.445,11.376,0.007,102.297,0.678,g
2458293.53045,2018-06-24.0295663,bl,1.57,15.446,11.382,0.007,101.744,0.655,g
2458293.53167,2018-06-24.0307813,bl,1.48,15.471,11.398,0.007,100.143,0.662,g
2458293.53289,2018-06-24.0320006,bl,1.48,15.470,11.389,0.007,101.044,0.646,g
2458294.52286,2018-06-25.0220119,bl,2.07,15.427,11.380,0.007,101.912,0.648,g
2458294.52408,2018-06-25.0232269,bl,2.05,15.411,11.384,0.007,101.490,0.637,g
2458294.52530,2018-06-25.0244467,bl,2.04,15.417,11.384,0.007,101.546,0.646,g
2458295.49707,2018-06-25.9962519,bl,1.52,15.481,11.410,0.007,99.077,0.667,g
2458295.49829,2018-06-25.9974704,bl,1.56,15.463,11.389,0.007,101.036,0.675,g
2458295.49951,2018-06-25.9986916,bl,1.52,15.470,11.386,0.007,101.331,0.675,g
2458296.51958,2018-06-27.0187962,bl,1.56,15.394,11.393,0.007,100.593,0.714,g
2458296.52080,2018-06-27.0200164,bl,1.55,15.433,11.407,0.008,99.316,0.731,g
2458296.52202,2018-06-27.0212372,bl,1.57,15.429,11.406,0.007,99.449,0.701,g
2458297.50113,2018-06-28.0003751,bl,2.08,15.348,11.408,0.009,99.268,0.775,g
2458297.50236,2018-06-28.0016043,bl,2.08,15.360,11.401,0.008,99.874,0.743,g
2458297.50358,2018-06-28.0028245,bl,2.04,15.412,11.413,0.008,98.877,0.727,g
2458298.51634,2018-06-29.0156175,bl,1.53,15.423,11.406,0.008,99.430,0.728,g
2458298.51756,2018-06-29.0168373,bl,1.52,15.427,11.404,0.007,99.596,0.670,g
2458300.49170,2018-06-30.9910494,bg,1.43,14.544,10.993,0.013,153.690,1.797,V
2458300.49298,2018-06-30.9923275,bg,1.47,14.562,10.981,0.012,155.482,1.771,V
2458300.49426,2018-06-30.9936083,bg,1.55,14.391,10.982,0.013,155.270,1.875,V
2458300.52778,2018-07-01.0271295,bh,2.04,15.015,11.037,0.008,147.563,0.973,V
2458300.52905,2018-07-01.0283954,bh,2.06,15.015,11.040,0.008,147.170,0.993,V
2458300.53031,2018-07-01.0296587,bh,2.06,15.016,11.040,0.007,147.148,0.929,V
2458305.49749,2018-07-05.9970140,bh,1.59,14.980,11.062,0.012,144.311,1.552,V
2458305.49877,2018-07-05.9982876,bh,1.56,14.955,11.035,0.012,147.931,1.596,V
2458305.50004,2018-07-05.9995628,bh,1.51,14.960,11.038,0.012,147.499,1.661,V
2458306.49307,2018-07-06.9926252,bl,2.02,15.496,11.391,0.007,100.871,0.622,g
2458308.47757,2018-07-08.9772004,bl,1.51,15.518,11.395,0.008,100.474,0.714,g
2458308.47880,2018-07-08.9784283,bl,1.52,15.522,11.400,0.007,100.041,0.677,g
2458310.47928,2018-07-10.9789791,bh,1.53,14.964,11.043,0.012,146.805,1.600,V
2458310.48064,2018-07-10.9803508,bh,1.56,14.968,11.059,0.012,144.663,1.579,V
2458310.48191,2018-07-10.9816151,bh,1.64,14.959,11.050,0.012,145.913,1.613,V
2458312.46808,2018-07-12.9678515,bh,2.11,15.015,11.059,0.008,144.581,0.969,V
2458312.46935,2018-07-12.9691151,bh,2.09,14.996,11.046,0.007,146.356,0.933,V
2458312.47064,2018-07-12.9704050,bh,2.07,15.027,11.048,0.007,146.065,0.896,V
2458314.47232,2018-07-14.9721674,bh,1.36,15.075,11.023,0.006,149.474,0.907,V
2458314.47360,2018-07-14.9734355,bh,1.36,15.083,11.033,0.006,148.119,0.885,V
2458314.47489,2018-07-14.9747291,bh,1.40,15.087,11.037,0.006,147.619,0.877,V
2458381.90323,2018-09-20.4050934,bg,1.41,13.669,11.102,0.025,139.027,3.186,V
2458381.90450,2018-09-20.4063682,bg,1.36,13.594,11.072,0.024,142.908,3.236,V
2458384.89661,2018-09-23.3985263,bg,1.38,14.578,11.065,0.012,143.821,1.490,V
2458384.89789,2018-09-23.3998057,bg,1.40,14.587,11.061,0.010,144.450,1.370,V
2458384.89917,2018-09-23.4010787,bg,1.41,14.510,11.029,0.010,148.721,1.340,V
2458385.89303,2018-09-24.3949635,bg,1.43,14.499,11.030,0.011,148.568,1.480,V
2458385.89429,2018-09-24.3962299,bg,1.53,14.505,11.021,0.011,149.726,1.448,V
2458385.89557,2018-09-24.3975018,bg,1.47,14.472,11.018,0.012,150.151,1.635,V
2458401.85833,2018-10-10.3604287,bG,1.46,99.990,99.990,99.990,99.990,99.990,g
2458401.85962,2018-10-10.3617126,bG,1.48,99.990,99.990,99.990,99.990,99.990,g
2458401.86089,2018-10-10.3629927,bG,1.43,14.291,11.492,0.025,91.905,2.115,g
2458409.87928,2018-10-18.3814038,bH,1.41,15.411,11.394,0.007,100.602,0.645,g
2458410.87787,2018-10-19.3799918,bl,1.48,15.402,11.390,0.007,100.866,0.635,g
2458410.87908,2018-10-19.3812101,bl,1.95,15.345,11.398,0.007,100.217,0.640,g
2458411.87516,2018-10-20.3772769,bH,1.45,15.455,11.389,0.007,101.021,0.641,g
2458411.87643,2018-10-20.3785494,bH,1.44,15.424,11.394,0.006,100.558,0.622,g
2458411.87770,2018-10-20.3798155,bH,1.49,15.381,11.382,0.006,101.596,0.618,g
2458412.84042,2018-10-21.3425346,bG,1.59,15.444,11.407,0.006,99.306,0.608,g
2458412.87201,2018-10-21.3741289,bH,2.01,15.502,11.379,0.006,101.881,0.597,g
2458412.87328,2018-10-21.3754052,bH,2.01,15.462,11.377,0.007,102.112,0.668,g
2458412.87456,2018-10-21.3766795,bH,2.06,15.447,11.398,0.007,100.249,0.647,g
2458413.84092,2018-10-22.3430381,bG,1.62,15.294,11.380,0.007,101.845,0.646,g
2458413.84219,2018-10-22.3443057,bG,1.68,15.290,11.411,0.008,98.985,0.692,g
2458413.86865,2018-10-22.3707678,bH,1.56,15.429,11.387,0.007,101.281,0.655,g
2458413.86992,2018-10-22.3720402,bH,1.97,15.252,11.393,0.007,100.639,0.694,g
2458413.87120,2018-10-22.3733152,bH,1.99,15.366,11.387,0.007,101.206,0.608,g
2458414.86535,2018-10-23.3674670,bH,1.50,15.493,11.407,0.006,99.334,0.578,g
2458414.86662,2018-10-23.3687399,bH,1.47,15.500,11.398,0.006,100.172,0.585,g
2458414.86790,2018-10-23.3700113,bH,1.47,15.441,11.386,0.007,101.285,0.640,g
2458419.85368,2018-10-28.3557755,bH,1.50,15.478,11.380,0.007,101.880,0.619,g
2458419.85495,2018-10-28.3570394,bH,1.45,15.487,11.381,0.006,101.747,0.593,g
2458419.85623,2018-10-28.3583230,bH,1.44,15.472,11.386,0.007,101.312,0.630,g
2458422.87099,2018-10-31.3730666,bH,1.94,15.338,11.378,0.008,102.029,0.696,g
2458425.85710,2018-11-03.3591493,bH,1.95,15.532,11.379,0.007,101.942,0.642,g
2458425.85838,2018-11-03.3604300,bH,1.63,15.533,11.379,0.006,101.983,0.586,g
2458425.85965,2018-11-03.3616936,bH,1.96,15.515,11.370,0.006,102.830,0.579,g
2458426.83105,2018-11-04.3330870,bH,1.46,15.566,11.381,0.006,101.755,0.531,g
2458426.83232,2018-11-04.3343646,bH,1.47,15.560,11.374,0.006,102.425,0.544,g
2458426.83371,2018-11-04.3357452,bH,1.55,15.572,11.376,0.006,102.241,0.547,g
2458427.85892,2018-11-05.3609447,bH,1.47,15.543,11.387,0.007,101.165,0.608,g
2458427.86019,2018-11-05.3622162,bH,1.45,15.528,11.387,0.007,101.252,0.596,g
2458427.86147,2018-11-05.3634984,bH,1.46,15.512,11.386,0.007,101.261,0.633,g
2458428.85171,2018-11-06.3537273,bH,1.50,15.577,11.396,0.007,100.361,0.582,g
2458428.85298,2018-11-06.3549975,bH,1.42,15.573,11.384,0.006,101.546,0.570,g
2458428.85426,2018-11-06.3562726,bH,1.44,15.569,11.390,0.006,100.910,0.570,g
2458429.81614,2018-11-07.3181436,bG,2.30,15.407,11.362,0.006,103.651,0.589,g
2458429.81740,2018-11-07.3194033,bG,2.42,15.398,11.370,0.006,102.837,0.583,g
2458429.81867,2018-11-07.3206747,bG,2.47,15.395,11.352,0.006,104.557,0.594,g
2458431.81752,2018-11-09.3194951,bG,1.52,15.452,11.400,0.006,100.050,0.586,g
2458431.81877,2018-11-09.3207550,bG,1.53,15.451,11.402,0.006,99.794,0.601,g
2458431.82005,2018-11-09.3220307,bG,1.59,15.438,11.374,0.006,102.486,0.597,g
2458433.83431,2018-11-11.3362570,bH,2.13,15.359,11.387,0.007,101.281,0.621,g
2458437.56952,2018-11-15.0714121,bo,1.49,99.990,99.990,99.990,99.990,99.990,g
2458438.82628,2018-11-16.3281537,bH,1.43,15.579,11.387,0.006,101.140,0.544,g
2458438.82756,2018-11-16.3294311,bH,1.47,15.563,11.386,0.006,101.304,0.572,g
2458438.82882,2018-11-16.3306972,bH,1.52,15.581,11.393,0.006,100.681,0.565,g
2458443.75824,2018-11-21.2600247,bG,1.45,15.342,11.391,0.007,100.821,0.655,g
2458443.75952,2018-11-21.2612972,bG,1.49,15.298,11.384,0.007,101.488,0.673,g
2458443.76079,2018-11-21.2625730,bG,1.49,15.321,11.392,0.007,100.756,0.652,g
2458443.80755,2018-11-21.3093275,bH,1.42,15.501,11.398,0.006,100.146,0.596,g
2458443.80883,2018-11-21.3106098,bH,1.41,15.463,11.381,0.007,101.789,0.625,g
2458443.81009,2018-11-21.3118737,bH,1.43,15.489,11.404,0.006,99.650,0.599,g
2458444.81618,2018-11-22.3179347,bG,1.48,15.330,11.399,0.007,100.095,0.656,g
2458444.81746,2018-11-22.3192229,bG,1.44,15.331,11.373,0.007,102.545,0.645,g
2458444.81874,2018-11-22.3204991,bG,1.52,15.309,11.373,0.007,102.488,0.649,g
2458444.82267,2018-11-22.3244318,bl,1.53,15.425,11.392,0.007,100.779,0.655,g
2458444.82389,2018-11-22.3256560,bl,1.47,15.404,11.371,0.007,102.733,0.660,g
2458444.82512,2018-11-22.3268738,bl,1.47,15.436,11.388,0.007,101.140,0.629,g
2458446.79786,2018-11-24.2995829,bH,1.44,15.452,11.379,0.006,102.025,0.593,g
2458446.79913,2018-11-24.3008478,bH,1.43,15.416,11.378,0.006,102.015,0.620,g
2458446.80041,2018-11-24.3021268,bH,1.48,15.420,11.384,0.006,101.491,0.610,g
2458447.78314,2018-11-25.2848418,bG,1.48,15.367,11.402,0.007,99.822,0.622,g
2458447.78441,2018-11-25.2861081,bG,1.48,15.338,11.396,0.008,100.308,0.696,g
2458447.78569,2018-11-25.2873835,bG,1.40,15.370,11.374,0.006,102.424,0.612,g
2458447.80257,2018-11-25.3042745,bH,1.38,15.421,11.382,0.006,101.684,0.606,g
2458447.80387,2018-11-25.3055622,bH,1.44,15.503,11.385,0.007,101.433,0.611,g
2458447.80514,2018-11-25.3068376,bH,1.45,15.481,11.379,0.006,101.995,0.592,g
2458450.82690,2018-11-28.3285270,bH,1.39,15.542,11.384,0.007,101.480,0.600,g
2458450.82819,2018-11-28.3298155,bH,1.43,15.526,11.379,0.007,101.885,0.596,g
2458450.82946,2018-11-28.3310842,bH,1.45,15.529,11.381,0.006,101.702,0.575,g
2458451.79566,2018-11-29.2972606,bl,1.48,15.486,11.384,0.006,101.436,0.582,g
2458451.79687,2018-11-29.2984752,bl,1.53,15.484,11.385,0.006,101.438,0.579,g
2458452.81744,2018-11-30.3190193,bH,1.47,15.543,11.385,0.007,101.380,0.604,g
2458452.81872,2018-11-30.3202986,bH,1.44,15.553,11.386,0.007,101.250,0.594,g
2458452.81999,2018-11-30.3215697,bH,1.45,15.544,11.373,0.007,102.522,0.597,g
2458453.78735,2018-12-01.2889064,bl,1.50,15.497,11.381,0.006,101.774,0.577,g
2458453.78858,2018-12-01.2901355,bl,1.49,15.502,11.390,0.006,100.908,0.580,g
2458453.78980,2018-12-01.2913472,bl,1.48,15.486,11.379,0.006,101.968,0.579,g
2458454.77722,2018-12-02.2787438,bG,1.42,15.461,11.411,0.006,99.052,0.595,g
2458454.77849,2018-12-02.2800175,bG,1.40,15.438,11.367,0.006,103.073,0.586,g
2458454.77975,2018-12-02.2812812,bG,1.44,15.461,11.390,0.006,100.863,0.597,g
2458454.81779,2018-12-02.3193155,bH,1.49,15.558,11.373,0.006,102.504,0.542,g
2458454.81906,2018-12-02.3205850,bH,1.42,15.570,11.387,0.006,101.193,0.564,g
2458454.82033,2018-12-02.3218599,bH,1.50,15.565,11.382,0.007,101.670,0.582,g
2458455.78960,2018-12-03.2910976,bl,2.13,15.468,11.384,0.006,101.469,0.593,g
2458455.79080,2018-12-03.2923142,bl,2.13,15.456,11.370,0.006,102.856,0.573,g
2458455.79202,2018-12-03.2935309,bl,2.10,15.457,11.373,0.006,102.584,0.583,g
2458456.78636,2018-12-04.2878377,bG,1.46,15.436,11.391,0.006,100.839,0.599,g
2458456.78762,2018-12-04.2891037,bG,1.42,99.990,99.990,99.990,99.990,99.990,g
2458456.79811,2018-12-04.2995819,bl,2.26,15.414,11.372,0.007,102.610,0.654,g
2458456.79932,2018-12-04.3007991,bl,2.28,15.412,11.358,0.008,103.952,0.746,g
2458456.80053,2018-12-04.3020136,bl,2.30,15.417,11.373,0.007,102.551,0.651,g
2458458.76825,2018-12-06.2696850,bH,1.51,15.562,11.379,0.006,101.924,0.577,g
2458458.76953,2018-12-06.2709583,bH,1.48,15.556,11.380,0.006,101.884,0.583,g
2458458.77080,2018-12-06.2722339,bH,1.42,15.573,11.408,0.006,99.261,0.560,g
2458460.81112,2018-12-08.3124905,bl,2.05,15.436,11.402,0.008,99.783,0.739,g
2458461.71943,2018-12-09.2207708,bG,1.46,15.446,11.395,0.006,100.469,0.594,g
2458461.72069,2018-12-09.2220356,bG,1.49,15.429,11.381,0.006,101.785,0.579,g
2458461.72196,2018-12-09.2233070,bG,1.47,15.439,11.391,0.006,100.866,0.588,g
2458461.75189,2018-12-09.2532284,bl,1.52,99.990,99.990,99.990,99.990,99.990,g
2458461.75311,2018-12-09.2544462,bl,1.47,15.504,11.390,0.007,100.944,0.605,g
2458461.75432,2018-12-09.2556574,bl,1.50,15.506,11.387,0.007,101.120,0.640,g
2458462.79699,2018-12-10.2983006,bl,1.49,15.494,11.374,0.006,102.393,0.573,g
2458462.79822,2018-12-10.2995234,bl,1.49,15.500,11.387,0.006,101.139,0.592,g
2458462.79945,2018-12-10.3007531,bl,1.48,15.499,11.371,0.006,102.692,0.575,g
2458463.76436,2018-12-11.2656476,bl,1.51,15.501,11.389,0.006,101.053,0.583,g
2458463.76558,2018-12-11.2668586,bl,1.51,15.501,11.380,0.006,101.898,0.599,g
2458463.76680,2018-12-11.2680756,bl,1.45,15.507,11.388,0.006,101.126,0.580,g
2458463.78267,2018-12-11.2839515,bG,1.51,15.464,11.385,0.006,101.442,0.596,g
2458463.78394,2018-12-11.2852238,bG,1.42,15.450,11.382,0.006,101.752,0.603,g
2458463.78521,2018-12-11.2864910,bG,1.45,15.443,11.376,0.006,102.253,0.580,g
2458464.76839,2018-12-12.2696446,bl,1.44,15.507,11.383,0.007,101.549,0.599,g
2458464.76961,2018-12-12.2708657,bl,1.45,15.509,11.392,0.006,100.703,0.586,g
2458464.77083,2018-12-12.2720811,bl,1.43,15.499,11.368,0.007,103.037,0.608,g
2458465.74674,2018-12-13.2479701,bl,1.47,15.514,11.395,0.007,100.506,0.597,g
2458465.74797,2018-12-13.2491959,bl,1.32,99.990,99.990,99.990,99.990,99.990,g
2458465.74919,2018-12-13.2504184,bl,1.49,15.513,11.391,0.006,100.853,0.593,g
2458465.75287,2018-12-13.2540922,bG,1.43,15.444,11.371,0.006,102.676,0.601,g
2458465.75414,2018-12-13.2553603,bG,1.44,15.465,11.406,0.006,99.464,0.593,g
2458465.75541,2018-12-13.2566357,bG,1.53,15.461,11.380,0.006,101.940,0.606,g
2458467.76166,2018-12-15.2628244,bG,1.42,15.439,11.384,0.006,101.520,0.582,g
2458467.76294,2018-12-15.2640936,bG,1.48,15.457,11.401,0.006,99.940,0.579,g
2458467.76421,2018-12-15.2653692,bG,1.47,15.463,11.390,0.006,100.943,0.579,g
2458467.78442,2018-12-15.2855807,bH,1.44,15.562,11.381,0.006,101.723,0.570,g
2458467.78569,2018-12-15.2868459,bH,1.40,15.561,11.388,0.006,101.149,0.565,g
2458467.78703,2018-12-15.2881864,bH,1.45,15.564,11.386,0.006,101.286,0.571,g
2458469.70822,2018-12-17.2093137,bG,1.48,15.417,11.401,0.006,99.917,0.605,g
2458469.70949,2018-12-17.2105885,bG,1.43,15.403,11.396,0.006,100.381,0.615,g
2458469.71076,2018-12-17.2118524,bG,1.50,15.443,11.438,0.006,96.540,0.557,g
2458469.74566,2018-12-17.2467601,bl,1.52,15.502,11.385,0.006,101.346,0.594,g
2458469.74687,2018-12-17.2479748,bl,1.45,15.500,11.391,0.006,100.862,0.591,g
2458469.74810,2018-12-17.2491950,bl,1.48,15.488,11.388,0.006,101.099,0.585,g
2458472.77937,2018-12-20.2803645,bH,1.46,15.494,11.391,0.007,100.844,0.644,g
2458472.78063,2018-12-20.2816276,bH,1.49,15.510,11.395,0.007,100.447,0.615,g
2458472.78191,2018-12-20.2829047,bH,1.48,15.467,11.394,0.007,100.536,0.622,g
2458473.69420,2018-12-21.1951702,bG,1.53,15.282,11.374,0.007,102.478,0.668,g
2458473.69548,2018-12-21.1964446,bG,1.51,15.253,11.390,0.007,100.914,0.697,g
2458473.69675,2018-12-21.1977186,bG,1.44,15.323,11.414,0.007,98.642,0.656,g
2458473.72427,2018-12-21.2252310,bH,1.39,15.451,11.390,0.007,100.972,0.647,g
2458473.72554,2018-12-21.2265045,bH,1.48,15.420,11.401,0.007,99.854,0.647,g
2458473.72683,2018-12-21.2277936,bH,1.54,15.481,11.389,0.007,101.035,0.614,g
2458474.76890,2018-12-22.2698324,bl,1.52,15.352,11.367,0.008,103.182,0.701,g
2458474.77012,2018-12-22.2710569,bl,1.44,15.350,11.405,0.008,99.633,0.674,g
2458474.77134,2018-12-22.2722760,bl,1.55,15.333,11.397,0.008,100.298,0.702,g
2458475.53756,2018-12-23.0384723,bo,1.44,15.295,11.377,0.007,102.125,0.673,g
2458475.69504,2018-12-23.1959427,bG,1.46,15.249,11.408,0.008,99.269,0.753,g
2458475.69630,2018-12-23.1972063,bG,1.48,15.238,11.397,0.008,100.316,0.742,g
2458475.69758,2018-12-23.1984856,bG,1.48,15.178,11.391,0.008,100.764,0.726,g
2458475.72984,2018-12-23.2307412,bH,1.45,15.402,11.395,0.007,100.393,0.657,g
2458475.73111,2018-12-23.2320089,bH,1.49,15.375,11.382,0.008,101.689,0.689,g
2458475.73237,2018-12-23.2332746,bH,1.48,15.338,11.385,0.008,101.400,0.682,g
2458476.74478,2018-12-24.2456483,bH,1.40,15.433,11.394,0.006,100.558,0.599,g
2458476.74606,2018-12-24.2469269,bH,1.47,15.412,11.380,0.007,101.858,0.659,g
2458476.74732,2018-12-24.2481907,bH,1.52,15.409,11.389,0.007,101.026,0.661,g
2458477.75802,2018-12-25.2588464,bG,1.48,15.379,11.400,0.008,99.972,0.660,g
2458477.75928,2018-12-25.2601140,bG,1.45,15.335,11.380,0.007,101.799,0.628,g
2458477.76055,2018-12-25.2613903,bG,1.45,15.342,11.372,0.007,102.672,0.670,g
2458477.81345,2018-12-25.3142913,bl,1.47,15.435,11.383,0.007,101.535,0.634,g
2458477.81467,2018-12-25.3155091,bl,1.48,15.439,11.391,0.006,100.907,0.619,g
2458477.81590,2018-12-25.3167384,bl,1.51,15.469,11.390,0.007,100.939,0.632,g
2458479.79713,2018-12-27.2978877,bH,1.57,15.518,11.380,0.007,101.857,0.609,g
2458479.79839,2018-12-27.2991562,bH,1.50,15.532,11.382,0.006,101.706,0.537,g
2458481.82894,2018-12-29.3296268,bl,1.51,15.489,11.383,0.007,101.604,0.609,g
2458481.83016,2018-12-29.3308494,bl,1.55,15.492,11.387,0.007,101.253,0.608,g
2458481.83138,2018-12-29.3320684,bl,1.51,15.488,11.383,0.006,101.603,0.596,g
2458482.38469,2018-12-29.8853677,bo,1.44,99.990,99.990,99.990,99.990,99.990,g
2458482.80486,2018-12-30.3055136,bG,1.59,15.444,11.395,0.006,100.442,0.589,g
2458482.80612,2018-12-30.3067743,bG,1.47,15.453,11.384,0.006,101.538,0.589,g
2458482.80738,2018-12-30.3080375,bG,1.44,15.457,11.367,0.006,103.075,0.602,g
2458483.72748,2018-12-31.2281026,bG,1.54,15.458,11.416,0.006,98.545,0.561,g
2458483.72875,2018-12-31.2293734,bG,1.55,15.432,11.391,0.006,100.882,0.594,g
2458483.73001,2018-12-31.2306363,bG,1.52,15.450,11.388,0.006,101.135,0.586,g
2458483.82985,2018-12-31.3304752,bH,1.44,15.557,11.378,0.006,102.020,0.544,g
2458483.83111,2018-12-31.3317427,bH,1.46,15.555,11.380,0.006,101.837,0.546,g
2458483.83238,2018-12-31.3330069,bH,1.41,15.551,11.386,0.006,101.311,0.552,g
2458484.79666,2019-01-01.2972490,bl,1.48,15.491,11.385,0.006,101.366,0.598,g
2458485.75016,2019-01-02.2507085,bG,1.50,15.418,11.402,0.006,99.841,0.598,g
2458485.75142,2019-01-02.2519748,bG,1.51,15.427,11.404,0.006,99.613,0.602,g
2458485.75269,2019-01-02.2532361,bG,1.46,15.424,11.381,0.006,101.744,0.609,g
2458487.83024,2019-01-04.3307184,bH,1.46,15.566,11.387,0.006,101.292,0.559,g
2458487.83152,2019-01-04.3319943,bH,1.46,15.575,11.390,0.008,100.934,0.698,g
2458487.83279,2019-01-04.3332598,bH,1.47,15.566,11.393,0.006,100.670,0.575,g
2458488.81085,2019-01-05.3112950,bG,1.48,15.453,11.405,0.006,99.589,0.584,g
2458488.81212,2019-01-05.3125616,bG,1.48,15.429,11.384,0.006,101.418,0.554,g
2458489.72165,2019-01-06.2220513,bH,1.48,15.518,11.382,0.006,101.643,0.579,g
2458489.72293,2019-01-06.2233340,bH,1.46,15.523,11.389,0.006,101.019,0.590,g
2458489.72420,2019-01-06.2246049,bH,1.44,15.522,11.388,0.006,101.169,0.591,g
2458489.81744,2019-01-06.3178444,bG,1.46,15.431,11.388,0.006,101.138,0.586,g
2458489.81871,2019-01-06.3191070,bG,1.50,15.435,11.384,0.006,101.439,0.595,g
2458489.82000,2019-01-06.3204034,bG,1.53,15.446,11.388,0.006,101.085,0.600,g
2458490.70860,2019-01-07.2089745,bH,1.49,15.532,11.387,0.007,101.138,0.602,g
2458490.70987,2019-01-07.2102466,bH,1.53,15.535,11.384,0.006,101.467,0.546,g
2458490.71115,2019-01-07.2115217,bH,1.46,15.536,11.382,0.007,101.736,0.613,g
2458490.78474,2019-01-07.2851136,bG,1.40,15.446,11.379,0.006,101.917,0.581,g
2458490.78604,2019-01-07.2864047,bG,1.51,15.441,11.378,0.006,101.980,0.606,g
2458490.86922,2019-01-07.3695858,bH,2.05,15.113,11.381,0.010,101.733,0.904,g
2458492.60837,2019-01-09.1086714,bG,1.38,15.414,11.405,0.006,99.543,0.585,g
2458492.60964,2019-01-09.1099362,bG,1.47,15.399,11.385,0.006,101.453,0.566,g
2458492.61091,2019-01-09.1112060,bG,1.48,15.413,11.414,0.006,98.731,0.596,g
2458492.68587,2019-01-09.1861637,bH,1.46,15.535,11.393,0.006,100.656,0.574,g
2458492.68714,2019-01-09.1874391,bH,1.41,15.541,11.396,0.007,100.344,0.585,g
2458492.68842,2019-01-09.1887134,bH,1.48,15.535,11.385,0.006,101.409,0.585,g
2458493.73251,2019-01-10.2327684,bH,1.46,15.519,11.384,0.007,101.525,0.600,g
2458493.73377,2019-01-10.2340321,bH,1.46,15.521,11.379,0.006,101.909,0.577,g
2458493.73503,2019-01-10.2352964,bH,1.46,15.525,11.387,0.007,101.196,0.629,g
2458494.41939,2019-01-10.9196226,bo,1.47,15.481,11.373,0.006,102.584,0.533,g
2458495.82898,2019-01-12.3291663,bH,1.46,15.511,11.393,0.007,100.574,0.596,g
2458495.83026,2019-01-12.3304412,bH,1.50,15.502,11.385,0.007,101.405,0.623,g
2458495.83155,2019-01-12.3317298,bH,1.44,15.504,11.387,0.007,101.181,0.614,g
2458496.84345,2019-01-13.3435990,bl,1.53,15.486,11.396,0.007,100.381,0.650,g
2458496.84467,2019-01-13.3448145,bl,1.52,15.480,11.387,0.007,101.261,0.615,g
2458496.84589,2019-01-13.3460325,bl,1.54,15.481,11.387,0.006,101.183,0.602,g
2458497.59669,2019-01-14.0968032,bG,1.44,15.363,11.398,0.007,100.234,0.631,g
2458497.59797,2019-01-14.0980912,bG,1.43,15.368,11.393,0.007,100.652,0.646,g
