HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458819.52335,2019-12-02.0249018,bp,1.55,15.258,11.371,0.007,102.696,0.642,g
2458819.52457,2019-12-02.0261105,bp,1.54,15.394,11.412,0.007,98.841,0.603,g
2458819.52579,2019-12-02.0273285,bp,1.52,15.461,11.387,0.006,101.206,0.554,g
2458819.78839,2019-12-02.2899237,bG,1.45,15.342,11.397,0.007,100.274,0.645,g
2458819.78966,2019-12-02.2911983,bG,1.41,15.332,11.411,0.007,99.036,0.658,g
2458819.79094,2019-12-02.2924732,bG,1.40,15.322,11.389,0.007,101.052,0.630,g
2458820.52086,2019-12-03.0223806,bp,1.46,15.487,11.394,0.006,100.503,0.560,g
2458820.52207,2019-12-03.0235986,bp,1.54,99.990,99.990,99.990,99.990,99.990,g
2458820.52332,2019-12-03.0248378,bp,1.47,15.496,11.409,0.006,99.181,0.533,g
2458821.81739,2019-12-04.3188740,bG,1.46,99.990,99.990,99.990,99.990,99.990,g
2458821.81867,2019-12-04.3201534,bG,1.47,14.064,11.732,0.038,73.706,2.564,g
2458821.81993,2019-12-04.3214106,bG,1.44,14.211,11.403,0.020,99.787,1.856,g
2458822.51284,2019-12-05.0143081,bp,1.97,15.470,11.393,0.006,100.631,0.553,g
2458822.51404,2019-12-05.0155112,bp,2.04,99.990,99.990,99.990,99.990,99.990,g
2458822.51526,2019-12-05.0167234,bp,1.99,15.461,11.366,0.006,103.169,0.553,g
2458822.85483,2019-12-05.3562861,bl,1.46,15.317,11.407,0.008,99.284,0.731,g
2458822.85605,2019-12-05.3575076,bl,1.45,15.265,11.399,0.008,100.106,0.735,g
2458822.85727,2019-12-05.3587223,bl,1.40,15.265,11.401,0.008,99.890,0.743,g
2458823.54211,2019-12-06.0435497,bo,1.46,15.426,11.381,0.006,101.758,0.587,g
2458823.54479,2019-12-06.0462317,bo,1.45,15.414,11.362,0.006,103.574,0.557,g
2458823.70706,2019-12-06.2084857,bG,1.42,15.284,11.420,0.007,98.146,0.655,g
2458823.83041,2019-12-06.3318381,bH,1.47,15.469,11.416,0.006,98.554,0.566,g
2458824.83112,2019-12-07.3325188,bG,1.46,15.368,11.427,0.007,97.481,0.645,g
2458825.80453,2019-12-08.3059112,bG,1.45,15.348,11.408,0.008,99.324,0.676,g
2458825.80580,2019-12-08.3071788,bG,1.50,15.340,11.404,0.007,99.645,0.629,g
2458825.80708,2019-12-08.3084608,bG,1.47,15.345,11.398,0.007,100.222,0.653,g
2458826.81699,2019-12-09.3183373,bG,1.63,15.322,11.385,0.007,101.453,0.648,g
2458826.81827,2019-12-09.3196144,bG,1.59,15.312,11.395,0.007,100.460,0.647,g
